기준년월,매출액(단위:억원)
20년 1월,13406
20년 2월,10438
20년 3월,10817
20년 4월,10687
20년 5월,10863
20년 6월,10822
20년 7월,11330
20년 8월,12851
20년 9월,14418
20년 10월,11750
20년 11월,11526
20년 12월,13230
21년 1월,13778
21년 2월,12910
21년 3월,11692
21년 4월,11422
21년 5월,12641
21년 6월,11556
21년 7월,13143
21년 8월,13355
21년 9월,13269
21년 10월,12954
21년 11월,10945
21년 12월,12850
22년 1월,15963
22년 2월,11002
22년 3월,11792
22년 4월,11743
22년 5월,12432
22년 6월,12000
22년 7월,13438
22년 8월,14527
22년 9월,13646
22년 10월,12567
22년 11월,12421
22년 12월,13323
23년 1월,15170
23년 2월,10970
23년 3월,11584
23년 4월,11987
23년 5월,12230
23년 6월,11748
