"가계수지항목별",2019.1/4,2019.1/4,2019.1/4,2019.2/4,2019.2/4,2019.2/4,2019.3/4,2019.3/4,2019.3/4,2019.4/4,2019.4/4,2019.4/4,2020.1/4,2020.1/4,2020.1/4,2020.2/4,2020.2/4,2020.2/4,2020.3/4,2020.3/4,2020.3/4,2020.4/4,2020.4/4,2020.4/4,2021.1/4,2021.1/4,2021.1/4,2021.2/4,2021.2/4,2021.2/4,2021.3/4,2021.3/4,2021.3/4,2021.4/4,2021.4/4,2021.4/4,2022.1/4,2022.1/4,2022.1/4,2022.2/4,2022.2/4,2022.2/4,2022.3/4,2022.3/4,2022.3/4,2022.4/4,2022.4/4,2022.4/4,2023.1/4,2023.1/4,2023.1/4
"가계수지항목별",전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구
"가구원수 (명)",2.42,2.61,2.18,2.41,2.56,2.19,2.42,2.56,2.22,2.42,2.55,2.22,2.40,2.53,2.22,2.40,2.52,2.25,2.40,2.52,2.24,2.39,2.49,2.25,2.37,2.49,2.22,2.37,2.48,2.21,2.37,2.47,2.22,2.36,2.47,2.22,2.33,2.44,2.18,2.33,2.43,2.18,2.33,2.43,2.17,2.33,2.44,2.16,2.27,2.39,2.09
"가구주연령 (세)",52.20,46.71,59.57,52.15,47.60,58.90,52.03,47.17,58.99,52.08,47.30,59.08,52.43,47.13,59.55,52.42,47.40,59.17,52.46,47.37,59.62,52.47,47.62,59.40,52.84,47.50,59.87,52.66,48.42,58.88,52.62,48.17,59.17,52.67,47.81,59.68,52.35,47.08,59.81,52.30,47.65,59.19,52.27,47.86,59.05,52.27,47.73,59.56,52.73,47.73,60.41
"가구분포 (%)",100.00,57.28,42.72,100.00,59.72,40.28,100.00,58.87,41.13,100.00,59.41,40.59,100.00,57.32,42.68,100.00,57.32,42.68,100.00,58.44,41.56,100.00,58.84,41.16,100.00,56.80,43.20,100.00,59.52,40.48,100.00,59.54,40.46,100.00,59.03,40.97,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
"소득",4310490,5266897,3027993,4188089,4913392,3112592,4324945,5036494,3306425,4295841,4846492,3489926,4363452,5273328,3141261,4334892,5055560,3367189,4369000,5072602,3379704,4353017,4918307,3545018,4319453,5212374,3145230,4201668,4912289,3156738,4603237,5315810,3554782,4474517,5078423,3604511,4580006,5381557,3445464,4492338,4909523,3873449,4476524,5066238,3568666,4426351,5003783,3500424,4579840,5487443,3187520
"경상소득",4225448,5189122,2933209,4130260,4867934,3036420,4270077,4976894,3258332,4225632,4771798,3426280,4250646,5165885,3021250,4263406,4985741,3293465,4299377,5003445,3309427,4271699,4846417,3450223,4237322,5128443,3065465,4124187,4823593,3095747,4542110,5252082,3497482,4375143,4964036,3526766,4496116,5306592,3348939,4406990,4836117,3770384,4402361,5008442,3469306,4338945,4927601,3395022,4477493,5381132,3091255
"근로소득",2792104,4488477,517350,2728106,4215804,522112,2805548,4353349,590010,2733312,4197524,590339,2813890,4470126,589149,2587923,4107007,548118,2776200,4345676,569446,2733013,4224317,601413,2737231,4428664,512938,2687972,4149047,539538,2875556,4440679,572692,2788610,4319027,583843,2906774,4566193,557976,2684289,4103500,578902,2863555,4342226,587160,2857976,4295034,553620,3014431,4624138,545040
"사업소득",781338,193684,1569354,837158,229840,1737702,857309,195673,1804382,977609,223739,2080949,778950,200776,1555582,781957,175158,1596759,851800,183309,1791728,935379,219053,1959263,755803,174162,1520682,790395,205556,1650370,861275,200974,1832819,981336,227681,2067075,818689,202295,1691154,861731,224207,1807492,911208,224607,1968222,932224,255113,2017986,728444,215885,1514741
"재산소득",34403,30706,39361,45418,50240,38268,27709,16340,43983,25209,15704,39121,37990,30191,48465,26631,16548,40170,31000,24431,40236,24866,16715,36516,32070,23827,42911,41504,43655,38341,22997,19485,28163,24945,19128,33326,30272,20873,43576,30361,23150,41058,27964,20236,39862,26441,18463,39234,34167,24373,49192
"이전소득",617603,476254,807145,519579,372050,738337,579511,411533,819958,489502,334832,715871,619817,464792,828053,866895,687028,1108418,640378,450029,908017,578441,386332,853032,712217,501791,988934,604316,425336,867498,782281,590944,1063809,580252,398200,842522,740380,517231,1056234,830609,485259,1342932,599633,421374,874062,522304,358990,784182,700451,516736,982282
"비경상소득",85041,77775,94784,57828,45458,76172,54867,59600,48093,70209,74693,63646,112806,107443,120011,71486,69819,73724,69623,69157,70278,81318,71890,94794,82131,83931,79765,77481,88695,60991,61127,63728,57299,99373,114387,77745,83890,74965,96524,85349,73406,103065,74163,57796,99360,87405,76182,105401,102347,106311,96265
"가계지출",3489987,4063951,2720331,3206094,3670565,2517365,3404750,3890609,2709286,3296072,3747998,2634647,3262172,3763462,2588814,3195810,3636881,2603546,3278032,3711115,2669098,3221057,3653067,2603562,3243293,3761496,2561837,3242458,3719102,2541578,3406822,3883535,2705404,3282743,3715590,2659168,3318380,3834682,2587588,3261698,3672503,2652272,3421031,3787467,2856907,3319594,3714980,2685582,3520751,4083203,2657915
"소비지출",2567902,2902648,2119024,2367963,2627497,1983119,2480951,2765597,2073506,2470792,2745422,2068852,2378150,2645608,2018886,2395785,2642353,2064696,2421813,2653109,2096600,2402804,2641694,2061346,2383194,2657594,2022347,2425835,2689839,2037631,2476553,2736983,2093365,2454786,2676955,2134723,2402760,2668365,2026814,2435746,2643625,2127361,2484687,2673425,2194126,2469625,2664241,2157552,2557622,2867300,2082557
"01.식료품 · 비주류음료",344983,360889,323654,322964,337479,301442,365012,369764,358211,356348,357261,355012,368084,389973,338682,370417,383985,352199,399302,405819,390139,384720,383276,386784,366175,373841,356095,353514,365402,336034,404657,412173,393599,376173,370859,383830,354907,362088,344743,328386,329719,326408,354507,356523,351403,351322,347577,357326,325220,329183,319140
"02.주류 · 담배",36833,40519,31890,35692,38571,31422,37372,39620,34154,33788,35822,30812,34412,37165,30713,38924,42230,34486,40226,44089,34794,36448,40381,30826,36470,41329,30080,39339,43303,33510,42098,45100,37682,37607,41050,32648,35792,39005,31244,37244,40824,31932,40795,44862,34534,38239,40765,34188,35774,39252,30439
"03.의류 · 신발",135784,162040,100576,145812,170837,108704,112384,130118,86998,163792,187478,129127,97753,116271,72879,134899,159473,101900,96056,112488,72952,143417,167573,108890,106265,126225,80015,128521,148008,99867,105493,122117,81032,159188,182070,126222,110460,130123,82628,140812,157942,115400,117766,136966,88208,154206,177821,116340,116139,135179,86930
"04.주거 · 수도 · 광열",323237,332242,311162,266303,274948,253484,253635,254958,251743,272809,285616,254065,316302,322362,308163,282712,291618,270754,266032,281350,244495,278774,288316,265136,336952,351477,317849,301691,316567,279815,266300,276079,251911,270554,276293,262287,333301,345176,316491,278303,281193,274016,250155,251670,247824,267206,269856,262957,345362,353681,332600
