연도,월,경기전반체감,경기전반전망,매출체감,매출전망,자금사정체감,자금사정전망,비용상황체감,비용상황전망,구매고객수 체감,구매고객수 전망,재고체감,재고전망,고용체감,고용전망,영업이익체감,영업이익전망,원재료조달사정체감,원재료조달사정전망,제조업체감,제조업전망,소매업체감,소매업전망,음식점업체감,음식점업전망,부동산중개업체감,부동산중개업전망,전문기술사업체감,전문기술사업전망,교육서비스업체감,교육서비스업전망,스포츠및오락관련체감,스포츠및오락관련전망,수리업체감,수리업전망,개인서비스업체감,개인서비스업전망,서울체감,서울전망,부산체감,부산전망,대구체감,대구전망,인천체감,인천전망,광주체감,광주전망,대전체감,대전전망,울산체감,울산전망,세종체감,세종전망,경기체감,경기전망,강원체감,강원전망,충북체감,충북전망,충남체감,충남전망,전북체감,전북전망,전남체감,전남전망,경북체감,경북전망,경남체감,경남전망,제주체감,제주전망
2013,1,65.5,93.7,65.7,96.7,68.1,96.1,,,,,,,,,63.9,,80.5,,,,61,89.7,66,96.7,58.9,77.2,66.7,,77,100,63.1,102,58.6,,72,,60.7,90.7,86,90.5,63.1,92.1,75.4,90.7,57.2,84,77.9,106.8,91.3,82,,,71.8,96,45.8,94,58.3,105.1,73.8,95.1,50,104.6,60.5,83.4,68.4,97,52.4,92.5,75,95
2013,2,66.8,83.6,67.9,82.7,70.9,80.9,,,,,,,,,66.8,81.2,82.6,85.4,,,69.9,92.7,64.7,78.1,72.9,78.3,81.2,89.7,70.4,89.6,63,70.4,58.6,74,73.2,90.8,71.3,75.6,52.7,88.8,68.4,85.4,81,85.2,65,73.6,72.8,73.8,42.7,83.7,,,73.4,95.5,42.8,74.7,67.1,83.4,78.4,101.2,63.7,77.9,66.1,82.7,60.9,77.9,64.3,78.4,97.5,105
2013,3,95.4,103.7,116.3,102.3,88.5,94.3,,,,,,,,,93.9,101.5,91.8,93.7,,,101.1,104,96.7,106.3,93.5,107.8,96.4,100.6,110,120.1,76.3,84.8,93.1,99.7,102.8,108.8,93,101.1,74,96.3,103.1,111.2,95.4,115,83,88.1,83.7,102.5,78.7,80.9,,,105.2,109.3,81.8,85.5,99.4,105.6,103.4,117.6,91.2,101.8,127.5,134.5,97,94.1,100.5,103.6,95,96.3
2013,4,92.5,103.2,93.5,102.7,90,95.4,,,,,,,,,92.1,101.8,93.8,96.7,,,89.9,105.4,96.2,110.7,96.8,103.7,90.2,95.8,96,104.3,77.8,86.4,87.7,97.9,103,110.8,98.4,99.2,84.7,87.4,97.9,114.8,89.6,124.9,80,88.6,94,90.4,75,76.4,,,98.9,110.9,68.9,91.5,92.4,108.8,93.7,109.8,100,110.6,107.9,127.9,88.1,98,94.5,97.7,101.3,90
2013,5,98.7,106.1,99.7,106.4,95.6,98.5,,,,,,,,,98.2,104.7,100.5,98.1,,,106.1,108.3,101.3,115,96.7,109.3,101.2,112.2,97,102.7,81.7,85.5,98.6,101.4,102.5,107.7,102.4,104.7,87.7,92.8,106.5,115,109.2,121.4,85.6,86.5,96.2,109.3,80.2,90.7,,,106.9,110.6,88,95.7,99.4,118.5,100.6,109.2,98.8,109.6,110.2,123.2,88.5,94.1,95.9,101.4,108.8,116.3
2013,6,89.6,97.2,90.5,97.2,89.4,94.9,,,,,,,,,88.9,96.8,94.4,96.7,,,88.6,101.6,96.9,100.7,81,92.1,92.2,91.6,96.3,94.6,78.8,87.2,88.4,98.6,89.8,101.8,91.7,102.4,89.6,91.2,100,97.6,99,103.1,77.8,83,86.9,96.2,77.3,84.9,,,91.2,112.5,79.5,75.3,87,107,80.6,92.5,104.2,104.8,92.9,100.6,82.6,88,89,93.1,97.5,87.5
2013,7,86.8,91.3,87.5,91.9,88.1,91.2,,,,,,,,,86,90.5,93.5,95.6,,,85.2,90,95.8,93.9,60.6,80.6,98.8,104.2,94.7,96,79,82.9,79.2,89.5,87.5,92.8,87.5,89.9,86.9,91.4,91.6,112,100.5,101.5,66.2,71.9,84.8,75.8,70.9,95.5,,,85.9,91.5,71.1,85.5,91.3,96.9,82.1,85.1,95.3,98.8,90.4,86.3,77.5,89.6,99.1,88.6,105,105
2013,8,86.5,90.8,87.7,91.3,88,91.6,,,,,,,,,86.4,88.1,93,94.7,,,84.9,90.1,92.6,92.1,65.2,74.9,92.7,95.8,91.9,99,77.9,84.6,86.8,89,88.2,92.8,85.4,96.2,82.7,92.4,91.5,82.2,92.3,95,76.9,94.9,83.8,96.8,77.3,90.9,,,89.1,90.4,84.8,82.5,99.4,82,79.3,91.3,93.5,87.1,77.4,93.4,84.4,89.7,85.1,91,107.5,88.8
2013,9,97.7,105.3,98.1,106.7,94.8,101.5,,,,,,,,,96.5,105.8,98.7,100.6,,,112,113.4,96.2,104.3,89.4,98.4,100,100.6,97.4,110.5,86.5,93.8,85.8,98.6,110.6,117.4,90.8,102.7,84.5,87.3,111.9,118,87.5,108.8,86,87.2,98.6,99.3,93.5,100,,,100.3,108.5,88.4,98.2,103.7,112.4,93.6,108,107.7,118.9,112.5,121.4,100.5,103.4,104.5,103.2,108.8,110
2013,10,96.1,106.8,97.1,106.8,92.8,101.2,,,,,,,,,95.1,105.7,96.1,100.8,,,95.2,103.7,100.6,112,99.6,108.5,107.8,115.3,96.3,103.9,80.9,100,93.6,107.3,100.5,107.3,98.1,99.7,95.6,90.2,111.4,118.3,103,114.5,83.2,107.1,100,106.8,88.2,91.4,,,96.3,111.4,80.7,112.4,98.8,109.9,91.9,106.9,107.5,114.9,98.2,128.1,95.6,100,83.3,97.7,100,100
