시군명,기준년월,월별신규가입자수(명),월별충전액(천원),월별사용액(천원)
가평군,2020-12,579,1177615,1121896
가평군,2020-11,524,1014259,991877
가평군,2020-10,550,921618,952087
가평군,2020-09,862,1052610,964030
가평군,2020-08,312,597319,661956
가평군,2020-07,533,676234,732454
가평군,2020-06,398,616944,518214
가평군,2020-05,3425,713833,642870
가평군,2020-04,6835,639698,477477
가평군,2020-03,655,389311,297771
가평군,2020-02,211,180458,230384
가평군,2020-01,338,288742,247582
고양시,2020-12,7511,8159264,13731511
고양시,2020-11,10341,21892388,21763372
고양시,2020-10,10941,18871423,22812605
고양시,2020-09,20944,25220665,21980525
고양시,2020-08,7545,22718749,16103409
고양시,2020-07,16520,10801299,14345199
고양시,2020-06,7044,7521775,13476552
고양시,2020-05,60602,24391234,14063170
고양시,2020-04,113877,10835285,8742604
고양시,2020-03,10166,8183828,6663098
고양시,2020-02,5041,6134958,5866688
고양시,2020-01,6758,9669657,6403636
과천시,2020-12,781,1651913,2075858
과천시,2020-11,981,2409712,2287637
과천시,2020-10,994,2224257,2286972
과천시,2020-09,1884,2231788,2373914
과천시,2020-08,852,1696814,1973027
과천시,2020-07,1263,2173031,1917034
과천시,2020-06,701,1676340,1353920
과천시,2020-05,2143,1390776,1051715
과천시,2020-04,8257,1617007,940438
과천시,2020-03,1004,1147878,720665
과천시,2020-02,366,381205,594092
과천시,2020-01,935,1107789,702411
광명시,2020-12,3307,8118857,6991235
광명시,2020-11,3119,7880494,7245906
광명시,2020-10,3603,6729996,7218227
광명시,2020-09,6892,7013531,6851110
광명시,2020-08,2240,4151462,5334111
광명시,2020-07,6761,7448631,5553208
광명시,2020-06,3506,5191954,3993955
광명시,2020-05,22779,4820262,3501908
광명시,2020-04,21799,3323583,2231284
광명시,2020-03,6608,1816691,1364922
광명시,2020-02,2064,1712842,1132528
광명시,2020-01,1842,1460775,1201056
광주시,2020-12,3635,11846680,10765924
광주시,2020-11,3203,10205139,9821290
광주시,2020-10,3368,9149383,9420328
광주시,2020-09,5885,10053666,9593202
광주시,2020-08,2537,6723209,7705561
광주시,2020-07,5980,8568562,7997727
광주시,2020-06,10557,6643099,5646692
광주시,2020-05,51184,5864519,4777641
광주시,2020-04,30144,4030085,3044231
광주시,2020-03,4528,3417305,2522458
광주시,2020-02,1812,1412908,1904151
광주시,2020-01,2095,2554825,2128133
구리시,2020-12,2099,5865095,4754559
구리시,2020-11,1650,4824203,4743637
구리시,2020-10,1806,4340830,4873221
구리시,2020-09,3060,4636510,4728126
구리시,2020-08,2256,3169232,3885413
구리시,2020-07,5879,4307178,3925072
구리시,2020-06,10273,4262372,2391153
구리시,2020-05,23609,2985817,2494217
구리시,2020-04,30323,2039056,1362573
구리시,2020-03,3604,1573624,967174
구리시,2020-02,884,779041,701499
구리시,2020-01,1289,958042,831592
군포시,2020-12,3564,11206381,9576097
군포시,2020-11,3067,9813402,9495058
